status_change_reason,code,description,reason_category,reason_action,status,reason_type
Status Change Reasons,1,V - Not Returning from Leave,Status Change Reasons,Terminate,Y,Voluntary
Status Change Reasons,2,V - Other,Status Change Reasons,Terminate,Y,Involuntary
Status Change Reasons,3,V - Other Opportunity,Status Change Reasons,Terminate,Y,Voluntary
Status Change Reasons,4,V - Personal/Family (unrelated to work),Status Change Reasons,Terminate,Y,Voluntary
Status Change Reasons,5,I - Resignation in Lieu of Termination,Status Change Reasons,Terminate,Y,Involuntary
Status Change Reasons,6,V - Self-employment,Status Change Reasons,Terminate,Y,Voluntary
Status Change Reasons,7,V - Transfer/Promotion,Status Change Reasons,Terminate,Y,Voluntary
Status Change Reasons,8,V - Type of Work,Status Change Reasons,Terminate,Y,Voluntary
Status Change Reasons,9,V - Culture,Status Change Reasons,Terminate,Y,Voluntary
Status Change Reasons,A,I - Attendance,Status Change Reasons,Terminate,Y,Involuntary
Status Change Reasons,ADPYEP,Purged by Download,Status Change Reasons,Terminate,Y,
Status Change Reasons,B,Never Started,Status Change Reasons,Terminate,Y,Voluntary
Status Change Reasons,C,I - Deceased,Status Change Reasons,Terminate,Y,Involuntary
Status Change Reasons,D,V - Benefits,Status Change Reasons,Terminate,Y,Voluntary
Status Change Reasons,E,I - Divestiture,Status Change Reasons,Terminate,Y,Involuntary
Status Change Reasons,F,End of Assignment,Status Change Reasons,Terminate,Y,
Status Change Reasons,G,I - Expiration of Work Authorization,Status Change Reasons,Terminate,Y,Involuntary
Status Change Reasons,H,I - For Cause,Status Change Reasons,Terminate,Y,Involuntary
Status Change Reasons,I,I - Misconduct,Status Change Reasons,Terminate,Y,Involuntary
Status Change Reasons,J,V - Work Life Balance,Status Change Reasons,Terminate,Y,Voluntary
Status Change Reasons,K,I - Not a Fit,Status Change Reasons,Terminate,Y,Involuntary
Status Change Reasons,L,I - Performance,Status Change Reasons,Terminate,Y,Involuntary
Status Change Reasons,M,I - Reduction in Force,Status Change Reasons,Terminate,Y,Involuntary
Status Change Reasons,N,I - Reorganization,Status Change Reasons,Terminate,Y,Involuntary
Status Change Reasons,O,V - Abandoned Job/No-Show,Status Change Reasons,Terminate,Y,Voluntary
Status Change Reasons,P,V - Lack of Career Progression,Status Change Reasons,Terminate,Y,Voluntary
Status Change Reasons,Q,V - Company Direction,Status Change Reasons,Terminate,Y,Voluntary
Status Change Reasons,R,V - Commute/Distance,Status Change Reasons,Terminate,Y,Voluntary
Status Change Reasons,S,V - Compensation,Status Change Reasons,Terminate,Y,Voluntary
Status Change Reasons,T,V - Continuing Education,Status Change Reasons,Terminate,Y,Voluntary
Status Change Reasons,U,V - Career Change,Status Change Reasons,Terminate,Y,Voluntary
Status Change Reasons,V,V - Quality of Management,Status Change Reasons,Terminate,Y,Voluntary
Status Change Reasons,W,Mutual Agreement,Status Change Reasons,Terminate,Y,
Status Change Reasons,X,Import Created Action,Status Change Reasons,Terminate,Y,
Status Change Reasons,Y,V - Retirement,Status Change Reasons,Terminate,Y,Voluntary
Status Change Reasons,Z,V - Team Dynamics,Status Change Reasons,Terminate,Y,Voluntary
Status Change Reasons,BDGT,Budgeted,Status Change Reasons,Hire,Y,
Status Change Reasons,DIS,Disability,Status Change Reasons,Place on Leave,Y,
Status Change Reasons,FMLA,FMLA Leave,Status Change Reasons,Place on Leave,Y,
Status Change Reasons,IMPORT,Import,Status Change Reasons,Place on Leave,Y,
Status Change Reasons,INORG,Inorganic,Status Change Reasons,Hire,Y,
Status Change Reasons,LEAVE,Notice Pending,Status Change Reasons,Place on Leave,Y,
Status Change Reasons,LOA,Personal Leave of Absence,Status Change Reasons,Place on Leave,Y,
Status Change Reasons,MIL,Military,Status Change Reasons,Place on Leave,Y,
Status Change Reasons,NEW,New Position,Status Change Reasons,Hire,N,
Status Change Reasons,NEWP,New Position,Status Change Reasons,Rehire,Y,
Status Change Reasons,NO,Don't Include/Never Started,Status Change Reasons,Hire,Y,
Status Change Reasons,REPLCE,Replacement,Status Change Reasons,Hire,Y,
Status Change Reasons,RETRN,Return from Leave,Status Change Reasons,Return from Leave,Y,
Status Change Reasons,TEMP,Temporary,Status Change Reasons,Hire,Y,
Status Change Reasons,UNBG,Unbudgeted,Status Change Reasons,Hire,Y,
