system_key,legacy_system_name,firm_source
axys__granite,Axys Granite,mwa
addepar__corbenic,Addepar Corbenic,mwa
black_diamond__commonwealth,Black Diamond Commonwealth,mwa
black_diamond__houston,Black Diamond Houston,mwa
black_diamond__baystate,Black Diamond Baystate,baystate
black_diamond__uhnw,Black Diamond UHNW,mwa
black_diamond__mcgervey,Black Diamond McGervey,mwa
black_diamond__mps,Black Diamond MPS,mps
cambak__andco,CamBak,andco
envestnet__manasquan,Envestnet,mwa
morningstar__executive_wealth,Morningstar Executive Wealth,mwa
morningstar__hfw,Morningstar HFW,mwa
fidelity__network,Network Fidelity,mwa
lpl__network,LPL Financial,mwa
schwab__network,Network Schwab,mwa
orion__arbor_wealth,Orion Arbor Wealth,mwa
orion__cascadia,Orion Cascadia,mwa
orion__hayes,Orion Hayes Financial,mwa
orion__core,Orion,mwa
orion__mps,Orion MPS,mps
salesforce__compass,Salesforce,mwa
tamarac__emerson,Tamarac Emerson,mwa
tamarac__nashville,Tamarac Nashville,mwa
tamarac__state_college,Tamarac State College,mwa
tpg__hfw,TPG HFW,mwa
