rep_code,firm
0BS,mwa
0M9,mwa
0Q4,mwa
0QK,mwa
0T4,mwa
0U2,mwa
0WX,mwa
6X6,mwa
897,mwa
A009,mwa
A00U,mwa
A00V,mwa
A0FL,mwa
A0R2,mwa
A0R4,mwa
A0R5,mwa
A0R6,mwa
A0R7,mwa
A0SH,mwa
A0SI,mwa
A0SJ,mwa
A0SK,mwa
A0SL,mwa
A0VV,mwa
A1RF,mwa
A1XQ,mwa
A2T6,mwa
A38X,mwa
A3VJ,mwa
A586,mwa
A587,mwa
A6F0,mwa
A6F1,mwa
A6FX,mwa
A6FY,mwa
A6FZ,mwa
A77X,mwa
A787,mwa
A7NV,mwa
A7NW,mwa
A7NX,mwa
A7NZ,mwa
AOR4,mwa
AP6E,mwa
ARJA,mwa
ARVE,mwa
AT9I,mwa
AT9J,mwa
AT9K,mwa
AT9L,mwa
AVFT,mwa
AWOB,mwa
AWSE,mwa
BA9K,mwa
BB61,mwa
BB62,mwa
BBK1,mwa
BBSS,mwa
BBST,mwa
BEF3,mwa
BEGO,mwa
BFF7,mwa
BH2W,mwa
BJLV,mwa
BJLW,mwa
BLLY,mwa
BLYA,mwa
BM3I,mwa
BM3J,mwa
BMAL,mwa
BMJZ,mwa
BMZK,mwa
BNO1,mwa
BNO2,mwa
BNOV,mwa
BNOW,mwa
BNOX,mwa
BNOY,mwa
BNOZ,mwa
BO39,mwa
BO4A,mwa
BO4B,mwa
BO4C,mwa
BO4D,mwa
BO4E,mwa
BO4F,mwa
BO4G,mwa
BO4H,mwa
BO4I,mwa
BO4J,mwa
BO4K,mwa
BO4L,mwa
BO4M,mwa
BO4N,mwa
BO4O,mwa
BO4P,mwa
BO4Q,mwa
BO4R,mwa
BO5N,mwa
BO5O,mwa
BO5P,mwa
BO5Q,mwa
BO5R,mwa
BO5S,mwa
BO5T,mwa
BO5U,mwa
BO5V,mwa
BO5W,mwa
BO5X,mwa
BO5Y,mwa
BOHK,mwa
BOHL,mwa
BPAL,mwa
BPPD,mwa
BPSL,mwa
BQ08,mwa
BQ4N,mwa
BQRR,mwa
BQRS,mwa
BQRT,mwa
BQRU,mwa
BQRV,mwa
BQZE,mwa
BQZG,mwa
BR4R,mwa
BSSL,mwa
BUEG,mwa
BUEH,mwa
BUEI,mwa
BUEJ,mwa
BUEW,mwa
BUW3,mwa
BUW4,mwa
COR,mwa
CS0BS,mwa
CS897,mwa
DAJC,mwa
DAK6,mwa
NAB4,mwa
NAGL,mwa
NAGM,mwa
NAGN,mwa
NAGO,mwa
NAH3,mwa
OB11,mwa
RB11,mwa
ST292,mwa
ST295,mwa
ST298,mwa
YUR,mwa
BUW5,mwa
BUW6,mwa
